time,One_full_time_and_one_part_time_working_person_three_children,Two_full_time_working_persons_three_children,One_full_time_and_one_part_time_working_person_two_children,Two_full_time_working_persons_two_children,"One_full_time_and_one_part_time_working_person,_one_child",Two_full_time_working_persons_one_child,One_full_time_and_one_part_time_working_person,Two_pensioneers,Two_full_time_working_persons,One_pensioneer,One_full_time_working_person
9/22/2015 19:00,1.30452715,1.17506275,0.301954383,0.7747055,0.2738889,0.457102167,0.120019183,0.433388417,0.260917433,0.75579115,0.123094533
9/22/2015 20:00,0.828405133,1.078021667,0.488747217,1.318962667,0.290441817,0.486049333,0.119356733,0.375867633,0.23586855,0.218272183,0.248081733
9/22/2015 21:00,0.775182213,0.6591392,0.499302417,0.434113,0.454849317,0.535504667,0.204059833,0.339266217,0.493792267,0.23873525,0.313195617
9/22/2015 22:00,0.522157798,0.289592643,1.602203483,0.385837283,0.44391385,0.177174717,0.142490483,0.31807945,0.30705815,0.075004612,0.164570383
9/22/2015 23:00,1.355719622,0.191731667,0.1701291,0.185277983,0.398814233,0.110371233,0.18027815,0.251642183,0.131962033,0.078356085,0.20147385
9/23/2015 0:00,2.898929133,0.182386837,0.1049838,0.187404633,0.308625867,0.1208326,0.11886515,0.1553693,0.118311367,0.061408465,0.153084083
9/23/2015 1:00,0.179697247,0.179639372,0.08054195,0.18524535,0.132017017,0.118120433,0.118756383,0.117539867,0.1239656,0.061466973,0.1211793
9/23/2015 2:00,0.146737257,0.190731717,0.102210033,0.185291683,0.117396567,0.109642683,0.120426365,0.11623715,0.204183917,0.064132852,0.11901315
9/23/2015 3:00,0.144386592,0.183840367,0.1265853,0.191367168,0.1172586,0.11040815,0.12168365,0.1169042,0.14310185,0.076897132,0.1209477
9/23/2015 4:00,0.159438487,0.170812643,0.3308964,0.228162133,0.11778315,0.277715883,0.12002325,0.11648285,0.1230143,0.063190845,0.120341983
9/23/2015 5:00,0.160147633,0.215260083,0.101720317,0.087655817,0.12015565,0.145557383,0.120201217,0.199151083,0.124420367,0.062428248,0.1318776
9/23/2015 6:00,0.29799075,0.24346985,0.286965933,0.131085317,0.417949033,0.115555317,0.132568833,0.1656056,0.1291264,0.065070512,0.270600583
9/23/2015 7:00,0.18201245,0.210965632,0.305430633,0.177141683,0.543070383,0.200945317,0.121902267,0.1329049,0.140186132,0.078680192,0.122037933
9/23/2015 8:00,0.167064517,0.1950145,0.345591033,0.110983583,0.126852,0.116141617,0.12356185,0.124963783,0.128119567,0.064181343,0.12375755
9/23/2015 9:00,0.173217817,0.251143183,0.104107783,1.235603217,0.121155583,0.115899733,0.276436367,1.895170433,0.322712033,0.063415455,0.1268784
9/23/2015 10:00,0.1640175,0.1915627,0.122597717,0.229081838,0.117572683,0.128785467,0.90908825,0.123701683,0.1222948,0.065850422,0.125497317
9/23/2015 11:00,1.205811617,0.247921483,0.104232267,0.173465933,0.204308633,0.1136834,0.663167587,0.150330567,0.1307966,0.200627198,0.126930278
9/23/2015 12:00,0.291261435,0.34460855,0.678676017,0.209072833,0.142984617,0.1123206,0.122538,0.246507833,0.1216103,0.270234483,0.123337217
